t,S,energy,utility,avg_A,avg_centrality,composite_score,eta,lambda,gate_topk,malicious_count
16,0.997431516288815,1922.5457313415188,-7.65402427474802,0.0030039777052211234,0.17666235143598832,0.38533247028719764,0.06,0.012,16.0,40
17,0.9975303377062703,1886.2766772572074,-7.490714709951162,0.0029473073082143864,0.1768965655146726,0.3853793131029345,0.06,0.012,16.0,40
18,0.9973844815509039,1950.1175316970405,-7.778144411085778,0.0030470586432766256,0.17764106675415633,0.38552821335083126,0.06,0.012,16.0,40
19,0.9975427125677615,1938.01440025036,-7.723522088558858,0.0030281475003911874,0.17807237922471153,0.3856144758449423,0.06,0.012,16.0,40
20,0.9974977717683778,1964.7732039178227,-7.843981645861824,0.0030699581311215978,0.17803404808461984,0.38560680961692395,0.06,0.012,16.0,40
21,0.9974339854032418,1936.3637111765254,-7.716202714891122,0.0030255682987133208,0.17833143348396205,0.38566628669679237,0.06,0.012,16.0,40
22,0.9974221484580174,1924.9044207210486,-7.6646477447867,0.0030076631573766385,0.17924869026497256,0.3858497380529945,0.06,0.012,16.0,40
23,0.9972789678152698,1983.8798694193817,-7.930180444571947,0.003099812295967784,0.1800003973948695,0.38600007947897386,0.06,0.012,16.0,40
24,0.9971926592577334,1989.5772169978186,-7.955904817232451,0.0031087144015590914,0.1798759632601137,0.38597519265202274,0.06,0.012,16.0,40
25,0.9972164719149542,1670.5764488442157,-6.520377547884016,0.002610275701319087,0.4461054394105425,0.43922108788210845,0.04094119003945959,0.007591814329014234,18.107173553464328,40
26,0.9971581001696871,1701.5487089016085,-6.65981108988755,0.0026586698576587632,0.461177497194453,0.44223549943889057,0.04094119003945959,0.007591814329014234,18.107173553464328,40
27,0.9970297358430741,1674.6401276275622,-6.538850838480955,0.002616625199418066,0.5146668987950629,0.45293337975901254,0.04094119003945959,0.007591814329014234,18.107173553464328,40
28,0.9969585115302925,1721.1926970727732,-6.748408625297187,0.002689363589176208,0.5074782610456228,0.4514956522091245,0.04094119003945959,0.007591814329014234,18.107173553464328,40
29,0.9970314414957959,1705.077788332003,-6.6758186059982165,0.0026641840442687545,0.5388468465637319,0.45776936931274637,0.04094119003945959,0.007591814329014234,18.107173553464328,40
30,0.9969159920701994,1708.716491326415,-6.692308218898668,0.0026698695176975234,0.5440455650122987,0.45880911300245975,0.04094119003945959,0.007591814329014234,18.107173553464328,40
31,0.99700643898235,1699.3276338888493,-6.649967913517472,0.002655199427951327,0.5288066174213847,0.4557613234842769,0.04094119003945959,0.007591814329014234,18.107173553464328,40
32,0.9969751871476266,1716.7767952710947,-6.7285203915722995,0.0026824637426110854,0.5648050156772855,0.46296100313545707,0.04094119003945959,0.007591814329014234,18.107173553464328,40
33,0.9969828802032624,1738.8762152490303,-6.827960088417374,0.00271699408632661,0.5847166340484984,0.46694332680969963,0.04094119003945959,0.007591814329014234,18.107173553464328,40
34,0.9969826899275379,1743.1146040481708,-6.84703302828923,0.0027236165688252667,0.5841215075574793,0.46682430151149584,0.04094119003945959,0.007591814329014234,18.107173553464328,40
