t,S,energy,utility,avg_A,entropy_A,eta,lambda,gate_topk,malicious_count
0,0.8595545726143352,71.33281982239251,0.5028904735023727,0.01114575309724883,7.735769189154719,0.06,0.01,10,4
1,0.9291814693416568,69.14643007422877,0.583449318970513,0.010804129699098245,7.727859584409998,0.06,0.01,10,4
2,0.9546246069748578,66.00820119021017,0.6245836010238071,0.010313781435970339,7.6020551235478955,0.06,0.01,10,4
3,0.9651207189494718,64.03719140783309,0.6449347619103063,0.010005811157473921,7.451433340248982,0.06,0.01,10,4
4,0.9709785638404443,62.46376827796123,0.6586597224506382,0.009759963793431442,7.334940070990781,0.06,0.01,10,4
5,0.9758973324415533,61.611998760443306,0.6678373386393368,0.009626874806319267,7.252788776547581,0.06,0.01,10,4
6,0.9747944490524905,63.73310590168569,0.656128919544062,0.00995829779713839,7.302096567283607,0.06,0.01,10,4
7,0.9764406700940138,62.759786762694205,0.6626417362805428,0.00980621668167097,7.216961311222098,0.06,0.01,10,4
8,0.9761270923013717,64.27224251390302,0.6547658797318566,0.010042537892797347,7.246056371035126,0.06,0.01,10,4
9,0.9768847263878507,64.36290793019396,0.6550701867368809,0.010056704364092806,7.2179234853746745,0.06,0.01,10,4
10,0.9783537782831122,64.68311187994206,0.6549382188834019,0.010106736231240946,7.189316138419059,0.06,0.01,10,4
11,0.978904194146512,65.19616506324702,0.6529233688302769,0.010186900791132348,7.1823629889932725,0.06,0.01,10,4
12,0.9799617274345195,66.79519008268002,0.6459857770211194,0.010436748450418754,7.221527058389732,0.06,0.01,10,4
13,0.981569950999236,67.14421668036206,0.6458488675974257,0.010491283856306573,7.209724044246561,0.06,0.01,10,4
14,0.982345163956934,67.93678548907211,0.6426612365115736,0.010615122732667516,7.206282190192145,0.06,0.01,10,4
15,0.9837442308015996,67.82500490645181,0.6446192062693406,0.010597657016633096,7.168177869920342,0.06,0.01,10,4
16,0.9825445377625308,67.95374913255834,0.642775792099739,0.01061777330196224,7.143979577982971,0.06,0.01,10,4
17,0.9821482649419414,70.572278993506,0.6292868699744114,0.011026918592735312,7.234510454078697,0.06,0.01,10,4
18,0.9829252554628647,69.4793439350278,0.6355285357877256,0.010856147489848094,7.150205378030838,0.06,0.01,10,4
19,0.9835192120096654,70.61968832995369,0.630420770359897,0.011034326301555264,7.18204642224171,0.06,0.01,10,4
20,0.9843966974032993,66.14245740834053,0.6536844103615966,0.010334758970053209,7.132944443648747,0.06,0.01,9,4
21,0.9833547861358748,66.08447339706206,0.6529324191505645,0.010325698968290947,7.102879857098162,0.06,0.01,9,4
22,0.9834295515484182,66.60305410967197,0.6504142810000583,0.010406727204636246,7.103674798385075,0.06,0.01,9,4
23,0.9840016863711789,66.02495684756734,0.6538769021333422,0.010316399507432397,7.051167554319015,0.06,0.01,9,4
24,0.9842817751223895,68.21255854229068,0.643218982410936,0.010658212272232919,7.127920106356207,0.06,0.01,9,4
25,0.98492133432242,68.28320398669283,0.6435053143889559,0.010669250622920755,7.102584443143669,0.06,0.01,9,4
26,0.9854442588788395,68.10244224824281,0.6449320476376255,0.01064100660128794,7.077625343262477,0.06,0.01,9,4
27,0.9858519825403825,68.87586473916453,0.6414726588445598,0.010761853865494457,7.088371742751432,0.06,0.01,9,4
28,0.9858564911810855,69.54992399085202,0.6381068712268254,0.010867175623570629,7.098342196488918,0.06,0.01,9,4
29,0.9876596378755796,68.54163728051913,0.6449514514729839,0.010709630825081114,7.025885422615958,0.06,0.01,9,4
30,0.9878915333221033,70.7500974243226,0.6341410462004904,0.011054702722550406,7.122681480832378,0.06,0.01,9,4
31,0.987220469419039,72.228775762537,0.6260765906063539,0.011285746212896406,7.15498087408368,0.06,0.01,9,4
32,0.9888018738908907,72.01456707941244,0.6287290384938284,0.011252276106158194,7.128634445503559,0.06,0.01,9,4
33,0.9903635755035696,72.6334714095934,0.6271962184556026,0.011348979907748968,7.126093447925331,0.06,0.01,9,4
34,0.9909586458384385,72.93484510149688,0.6262844203309541,0.011396069547108888,7.116298125657467,0.06,0.01,9,4
35,0.9913320495519226,72.45970662385443,0.6290335164326504,0.011321829159977254,7.070234879746027,0.06,0.01,9,4
36,0.9914003720313919,73.14735916393681,0.6256635762117078,0.011429274869365126,7.085179078083117,0.06,0.01,9,4
37,0.9918943246097549,75.19411975001,0.6159237258597049,0.011749081210939063,7.15230530091894,0.06,0.01,9,4
38,0.9912280829793279,73.81491854518603,0.6221534902533976,0.011533581022685318,7.067835760058649,0.06,0.01,9,4
39,0.990948172948731,75.14172252132101,0.6152395603421259,0.01174089414395641,7.109789598065664,0.06,0.01,9,4
40,0.9910953312645543,68.72931498735733,0.6474487563277677,0.010738955466774582,7.02034657259279,0.06,0.01,8,4
41,0.9917644186609698,70.92892174210112,0.6371198099504641,0.0110826440222033,7.107656765775922,0.06,0.01,8,4
42,0.9925455510037715,68.30220535280426,0.6510345242397502,0.010672219586375667,6.961129323170894,0.06,0.01,8,4
43,0.9931796173496648,70.35194216195389,0.6414199065398953,0.010992490962805294,7.044558759018399,0.06,0.01,8,4
44,0.9933027581318007,71.28817374654167,0.6368618893990923,0.011138777147897136,7.064575662214282,0.06,0.01,8,4
45,0.9935769881224683,69.89717233020475,0.6440911264714445,0.010921433176594492,6.97615718728324,0.06,0.01,8,4
46,0.9933239682909693,71.39084224854865,0.6363697570482261,0.011154819101335726,7.0319690320749375,0.06,0.01,8,4
47,0.9937244340729637,72.1131971066462,0.6331584485397328,0.011267687047913469,7.048252668723826,0.06,0.01,8,4
48,0.9937131532166644,71.48984996077485,0.6362639034127902,0.01117028905637107,7.009042731507279,0.06,0.01,8,4
49,0.994752349484816,73.70461542793242,0.6262292723451538,0.011516346160614442,7.081677605019853,0.06,0.01,8,4
50,0.9947194712743456,73.34270419934256,0.6280059502776327,0.011459797531147276,7.041960651710437,0.06,0.01,8,4
51,0.994926284460323,73.02175992647831,0.6298174848279314,0.011409649988512236,7.010585740603409,0.06,0.01,8,4
52,0.9948415650017612,73.9156521424928,0.6252633042892972,0.0115493206472645,7.029369398819905,0.06,0.01,8,4
53,0.9950828517568262,74.3697093850584,0.6232343048315342,0.011620267091415375,7.038175861515556,0.06,0.01,8,4
54,0.9954041709510126,74.8152869423241,0.6213277362393921,0.011689888584738139,7.036467118300091,0.06,0.01,8,4
55,0.9956063706350456,75.9944174539064,0.6156342833655137,0.011874127727172874,7.065649873885256,0.06,0.01,8,4
56,0.9959193322739016,75.24378391052883,0.6197004127212574,0.011756841236020131,7.019309860800459,0.06,0.01,8,4
57,0.9951489606433727,75.82473376899112,0.616025291798417,0.011847614651404863,7.032273161313582,0.06,0.01,8,4
58,0.9945696274104225,76.52253486169147,0.6119569531019652,0.011956646072139292,7.036982835944542,0.06,0.01,8,4
59,0.9953685024506345,75.1010631973742,0.6198631864637634,0.01173454112458972,6.954277857564955,0.06,0.01,8,4
60,0.9955351637253126,69.41075887554972,0.648481369347564,0.010845431074304643,6.9724159101614624,0.06,0.01,7,4
61,0.9958859543803552,69.24718494267191,0.6496500296669956,0.010819872647292485,6.939322005136737,0.06,0.01,7,4
62,0.9963469078947914,68.90132106912694,0.6518403025491567,0.010765831417051085,6.9130990154068,0.06,0.01,7,4
63,0.9965453378770689,69.23181037105982,0.6503862860217697,0.010817470370478097,6.916847286439372,0.06,0.01,7,4
64,0.9967919813497945,69.60516682414935,0.6487661472290478,0.010875807316273335,6.929737322975706,0.06,0.01,7,4
65,0.9972782959060742,69.38596803420907,0.6503484557350288,0.010841557505345167,6.909649704527723,0.06,0.01,7,4
66,0.997483995104047,70.32175965556856,0.6458751968262042,0.010987774946182588,6.949640064740118,0.06,0.01,7,4
67,0.9976099317467567,69.7430759440019,0.6488945520267473,0.010897355616250297,6.908401659596253,0.06,0.01,7,4
68,0.9975656000799679,71.41291709235679,0.6405010146181839,0.01115826829568075,6.979108635613137,0.06,0.01,7,4
69,0.9980970469583113,70.29739356665203,0.6466100791250511,0.01098396774478938,6.90830324846707,0.06,0.01,7,4
70,0.9982777520906314,71.86463234525984,0.6389545903643322,0.01122884880394685,6.979564462537873,0.06,0.01,7,4
71,0.9981206508644446,72.74962597948692,0.6343725209670099,0.011367129059294831,6.995115936114896,0.06,0.01,7,4
72,0.9980510797657086,72.06494220431419,0.6377263687441377,0.011260147219424093,6.954933486221114,0.06,0.01,7,4
73,0.998190545814931,72.77317818103542,0.6343246549097539,0.011370809090786783,6.978625937924788,0.06,0.01,7,4
74,0.9981106167429712,71.58753693914505,0.6401729320472459,0.011185552646741415,6.904713404874217,0.06,0.01,7,4
75,0.9982980568204204,72.91739233146832,0.6337110951630788,0.011393342551791925,6.965567387627954,0.06,0.01,7,4
76,0.9980150604251841,73.52323722448577,0.6303988743027552,0.011488005816325902,6.978272600218835,0.06,0.01,7,4
77,0.9980996721947228,73.15791974586281,0.6323100734654088,0.011430924960291064,6.953235542164361,0.06,0.01,7,4
78,0.9983683170717482,72.14557237730916,0.6376404551852024,0.011272745683954557,6.882769551278523,0.06,0.01,7,4
79,0.9985996486490503,73.27838821458985,0.632207707576101,0.011449748158529664,6.926691165636914,0.06,0.01,7,4
80,0.9980395305373843,64.457027689776,0.6757543920885043,0.0100714105765275,6.829632526397927,0.06,0.01,6,4
81,0.9983748062673703,66.61677958969645,0.665290908318888,0.01040887181089007,6.928048320344536,0.06,0.01,6,4
82,0.9985580235642458,66.41997492988865,0.6664581489148025,0.010378121082795101,6.910615181438836,0.06,0.01,6,4
83,0.9982494109093593,65.60483371392621,0.6702252423397281,0.010250755267800971,6.861765718394761,0.06,0.01,6,4
84,0.9984708430692414,65.23169377605268,0.672312374188978,0.010192452152508231,6.838168275661602,0.06,0.01,6,4
85,0.9982019740424166,66.58997117987633,0.665252118143035,0.010404682996855676,6.894682552219516,0.06,0.01,6,4
86,0.998415842801806,65.75212860404532,0.6696551997815794,0.010273770094382082,6.838790622710638,0.06,0.01,6,4
87,0.9986300115815114,66.337821424693,0.6669409044580463,0.010365284597608281,6.862205303489388,0.06,0.01,6,4
88,0.9979915703917683,66.10156933424993,0.6674837237205187,0.010328370208476552,6.83407186409994,0.06,0.01,6,4
89,0.9981992266340715,67.60806542833535,0.6601588994923947,0.010563760223177399,6.891480618099116,0.06,0.01,6,4
90,0.9983326213392011,68.0412035764915,0.6581266034567437,0.010631438058826796,6.915510177228788,0.06,0.01,6,4
91,0.99841316496587,66.07866228868676,0.6680198535224362,0.010324790982607307,6.810293806140001,0.06,0.01,6,4
92,0.9985429109286343,66.93875373046359,0.6638491422763164,0.010459180270384935,6.854792803406424,0.06,0.01,6,4
93,0.9983269359502775,66.78683495534594,0.6643927611735478,0.010435442961772803,6.840024433987049,0.06,0.01,6,4
94,0.9984276671229171,66.23274866648259,0.667263923790504,0.010348866979137904,6.8044311114097145,0.06,0.01,6,4
95,0.9978152026232394,66.3217461836135,0.6662064717051719,0.010362772841189609,6.79590132363961,0.06,0.01,6,4
96,0.9980127235427916,66.83862696505486,0.6638195887175173,0.010443535463289822,6.828804100501566,0.06,0.01,6,4
97,0.9983569398193519,66.87583512849238,0.66397776417689,0.010449349238826934,6.822789800675593,0.06,0.01,6,4
98,0.9983366255131924,66.56368349680221,0.6655182080291813,0.010400575546375346,6.802713875572412,0.06,0.01,6,4
99,0.9986868940583695,66.44084224091401,0.6664826828537995,0.010381381600142814,6.797150953294233,0.06,0.01,6,4
100,0.998735979322105,57.26799968656843,0.7123959808892628,0.008948124951026317,6.71109882652889,0.06,0.01,5,4
101,0.9985404954162218,58.88695999033452,0.7041056954645493,0.009201087498489769,6.802752632165301,0.06,0.01,5,4
102,0.9986234446694909,58.26358498551874,0.7073055197418971,0.009103685153987302,6.7500752260577634,0.06,0.01,5,4
103,0.9982981702375285,58.416325486083394,0.7062165428071115,0.009127550857200531,6.760908415765457,0.06,0.01,5,4
104,0.9979329778934345,59.626975540416446,0.6997981001913522,0.00931671492819007,6.817984160072608,0.06,0.01,5,4
105,0.9980197874770929,58.98496842723212,0.7030949453409323,0.009216401316755019,6.776057404574344,0.06,0.01,5,4
106,0.9980445925311164,58.84630786514566,0.7038130532053881,0.00919473560392901,6.752021858334324,0.06,0.01,5,4
107,0.9984111531269195,59.019999531981796,0.7033111554670106,0.009221874926872155,6.763607780768405,0.06,0.01,5,4
108,0.9980380147079229,58.78930571400885,0.7040914861378786,0.009185829017813882,6.743677173883104,0.06,0.01,5,4
109,0.9980608249976202,59.019733442859604,0.7029621577833222,0.009221833350446813,6.744350707388899,0.06,0.01,5,4
110,0.9978497316441624,59.755693011935975,0.6990712665844825,0.009336827033114996,6.793201814608148,0.06,0.01,5,4
111,0.9974783462596801,59.28290856397578,0.7010638034398012,0.009262954463121215,6.753588427616318,0.06,0.01,5,4
112,0.9971511247165639,61.3972309775868,0.6901649698286298,0.009593317340247938,6.8622086202425665,0.06,0.01,5,4
113,0.9976876327904263,60.92502082759441,0.6930625286524542,0.009519534504311627,6.8199180750518025,0.06,0.01,5,4
114,0.9976783283019932,58.56931505675038,0.7048317530182413,0.009151455477617247,6.670635755172491,0.06,0.01,5,4
115,0.9978266118229527,59.47586584259659,0.7004472826099698,0.009293104037905717,6.739626316732991,0.06,0.01,5,4
116,0.997638077838748,59.98573723069327,0.6977093916852817,0.009372771442295823,6.756247448156365,0.06,0.01,5,4
117,0.9979955703045906,58.820246040194085,0.7038943401036202,0.009190663443780327,6.685014124505631,0.06,0.01,5,4
118,0.998225794033659,60.81200053594127,0.6941657913539525,0.009501875083740823,6.794504630799112,0.06,0.01,5,4
119,0.9981979179284703,61.748803635712015,0.6894538997499102,0.009648250568080002,6.841090532949059,0.06,0.01,5,4
120,0.9983711855295805,50.98930791131141,0.7434246459730234,0.007967079361142408,6.701347192079538,0.06,0.01,4,4
121,0.9982299638522596,50.921801650765936,0.7436209555984299,0.007956531507932178,6.691236507981427,0.06,0.01,4,4
122,0.9984159603732965,51.95942987629995,0.7386188109917967,0.008118660918171866,6.754311672038023,0.06,0.01,4,4
123,0.9981393969237674,50.662996306174534,0.7448244153928947,0.007916093172839771,6.6668955039697035,0.06,0.01,4,4
124,0.998266540137563,51.44113007017883,0.7410608897866688,0.008037676573465442,6.709321142797995,0.06,0.01,4,4
125,0.9977368607049008,50.389536733438234,0.7457891770377096,0.007873365114599724,6.63930275626114,0.06,0.01,4,4
126,0.9978039985401975,51.2366537188709,0.741620729945843,0.008005727143573577,6.703149194154436,0.06,0.01,4,4
127,0.9976355465742552,50.98148140229203,0.742728139562795,0.00796585646910813,6.676695465495748,0.06,0.01,4,4
128,0.9977329797007403,50.1236782829136,0.7471145882861723,0.00783182473170525,6.612583857869002,0.06,0.01,4,4
