t,S,energy,utility,avg_A,avg_centrality,composite_score,eta,lambda,gate_topk,malicious_count
38,0.9969001665056384,1744.0477305710197,-6.851314621063949,0.0027250745790172184,0.17839981671217886,0.38567996334243576,0.03875318744300973,0.003511063803748301,13.873883158875275,40
39,0.9970010396080836,1753.2296661729304,-6.892532458170102,0.002739421353395204,0.17895080545933312,0.3857901610918666,0.03875318744300973,0.003511063803748301,13.873883158875275,40
40,0.9969624455043833,1766.0778102790516,-6.950387700751349,0.0027594965785610183,0.17900963297492894,0.38580192659498574,0.03875318744300973,0.003511063803748301,13.873883158875275,40
41,0.9970218008033215,1779.792098182629,-7.012042641018508,0.002780925153410358,0.17940073624138428,0.38588014724827685,0.03875318744300973,0.003511063803748301,13.873883158875275,40
42,0.996985695795232,1770.788097705211,-6.971560743878217,0.002766856402664392,0.179553999838429,0.3859107999676858,0.03875318744300973,0.003511063803748301,13.873883158875275,40
43,0.9972476926197202,1780.952845450198,-7.01704011190617,0.0027827388210159344,0.18016619958503718,0.38603323991700744,0.03875318744300973,0.003511063803748301,13.873883158875275,40
44,0.9972123297583123,1791.8420669624131,-7.066076971572546,0.0027997532296287703,0.18074577611596737,0.38614915522319343,0.03875318744300973,0.003511063803748301,13.873883158875275,40
45,0.9973402301535782,1792.6335274170217,-7.069510643223018,0.0028009898865890962,0.18094003130733627,0.3861880062614672,0.03875318744300973,0.003511063803748301,13.873883158875275,40
46,0.9972798356395948,1839.5308121988137,-7.2806088192550655,0.0028742668940606466,0.1809375634472783,0.3861875126894556,0.03875318744300973,0.003511063803748301,13.873883158875275,40
47,0.9972918870819053,1827.2416510586459,-7.225295542682,0.002855065079779134,0.18144432056572982,0.38628886411314595,0.03875318744300973,0.003511063803748301,13.873883158875275,40
48,0.9973297072514784,1837.5169954310804,-7.2714967721883825,0.0028711203053610633,0.19091629685238207,0.3881832593704764,0.03875318744300973,0.003511063803748301,13.873883158875275,40
49,0.9975367328724466,1835.9262302655764,-7.264131303322647,0.002868634734789963,0.18772144705674443,0.3875442894113489,0.03875318744300973,0.003511063803748301,13.873883158875275,40
50,0.9974513424600128,1505.7127360695404,-5.778255969852918,0.002352676150108657,0.18440979816460273,0.38688195963292055,0.02661260468849975,0.0017560319018741506,11.803220645243346,40
